year,variable,region,value,unit,model
1998,temperature,europe,12.2,°C,CMIP6-CESM2
1999,temperature,europe,12.0,°C,CMIP6-CESM2
2000,temperature,europe,12.1,°C,CMIP6-CESM2
2001,temperature,europe,12.4,°C,CMIP6-CESM2
2002,temperature,europe,12.6,°C,CMIP6-CESM2
2003,temperature,europe,13.1,°C,CMIP6-CESM2
2004,temperature,europe,12.5,°C,CMIP6-CESM2
2005,temperature,europe,12.7,°C,CMIP6-CESM2
2006,temperature,europe,12.8,°C,CMIP6-CESM2
2007,temperature,europe,13.0,°C,CMIP6-CESM2
2008,temperature,europe,12.9,°C,CMIP6-CESM2
2009,temperature,europe,12.8,°C,CMIP6-CESM2
2010,temperature,europe,13.2,°C,CMIP6-CESM2
2011,temperature,europe,13.4,°C,CMIP6-CESM2
2012,temperature,europe,13.3,°C,CMIP6-CESM2
2013,temperature,europe,13.5,°C,CMIP6-CESM2
2014,temperature,europe,13.8,°C,CMIP6-CESM2
2015,temperature,europe,14.0,°C,CMIP6-CESM2
2016,temperature,europe,14.3,°C,CMIP6-CESM2
2017,temperature,europe,14.1,°C,CMIP6-CESM2
2018,temperature,europe,14.4,°C,CMIP6-CESM2
2019,temperature,europe,14.5,°C,CMIP6-CESM2
2020,temperature,europe,14.7,°C,CMIP6-CESM2
1990,temperature,asia,17.8,°C,CMIP6-CESM2
1992,temperature,asia,17.9,°C,CMIP6-CESM2
1994,temperature,asia,18.1,°C,CMIP6-CESM2
1996,temperature,asia,18.0,°C,CMIP6-CESM2
1998,temperature,asia,18.5,°C,CMIP6-CESM2
2000,temperature,asia,18.3,°C,CMIP6-CESM2
2002,temperature,asia,18.6,°C,CMIP6-CESM2
2004,temperature,asia,18.7,°C,CMIP6-CESM2
2006,temperature,asia,18.9,°C,CMIP6-CESM2
2008,temperature,asia,18.8,°C,CMIP6-CESM2
2010,temperature,asia,19.1,°C,CMIP6-CESM2
2012,temperature,asia,19.3,°C,CMIP6-CESM2
2014,temperature,asia,19.5,°C,CMIP6-CESM2
2016,temperature,asia,19.8,°C,CMIP6-CESM2
2018,temperature,asia,19.7,°C,CMIP6-CESM2
2020,temperature,asia,20.0,°C,CMIP6-CESM2
1990,precipitation,north_america,750,mm,CMIP6-CESM2
1991,precipitation,north_america,730,mm,CMIP6-CESM2
1992,precipitation,north_america,760,mm,CMIP6-CESM2
1993,precipitation,north_america,780,mm,CMIP6-CESM2
1994,precipitation,north_america,710,mm,CMIP6-CESM2
1995,precipitation,north_america,800,mm,CMIP6-CESM2
1996,precipitation,north_america,770,mm,CMIP6-CESM2
1997,precipitation,north_america,790,mm,CMIP6-CESM2
1998,precipitation,north_america,840,mm,CMIP6-CESM2
1999,precipitation,north_america,760,mm,CMIP6-CESM2
2000,precipitation,north_america,720,mm,CMIP6-CESM2
2001,precipitation,north_america,740,mm,CMIP6-CESM2
2002,precipitation,north_america,690,mm,CMIP6-CESM2
2003,precipitation,north_america,700,mm,CMIP6-CESM2
2004,precipitation,north_america,730,mm,CMIP6-CESM2
2005,precipitation,north_america,750,mm,CMIP6-CESM2
2006,precipitation,north_america,780,mm,CMIP6-CESM2
2007,precipitation,north_america,760,mm,CMIP6-CESM2
2008,precipitation,north_america,800,mm,CMIP6-CESM2
2009,precipitation,north_america,770,mm,CMIP6-CESM2
2010,precipitation,north_america,810,mm,CMIP6-CESM2
2011,precipitation,north_america,830,mm,CMIP6-CESM2
2012,precipitation,north_america,680,mm,CMIP6-CESM2
2013,precipitation,north_america,720,mm,CMIP6-CESM2
2014,precipitation,north_america,740,mm,CMIP6-CESM2
2015,precipitation,north_america,690,mm,CMIP6-CESM2
2016,precipitation,north_america,820,mm,CMIP6-CESM2
2017,precipitation,north_america,790,mm,CMIP6-CESM2
2018,precipitation,north_america,750,mm,CMIP6-CESM2
2019,precipitation,north_america,760,mm,CMIP6-CESM2
2020,precipitation,north_america,800,mm,CMIP6-CESM2
1990,co2,north_america,354.2,ppm,NOAA-ESRL
1991,co2,north_america,356.3,ppm,NOAA-ESRL
1992,co2,north_america,357.1,ppm,NOAA-ESRL
1993,co2,north_america,358.8,ppm,NOAA-ESRL
1994,co2,north_america,360.9,ppm,NOAA-ESRL
1995,co2,north_america,362.7,ppm,NOAA-ESRL
1996,co2,north_america,364.9,ppm,NOAA-ESRL
1997,co2,north_america,366.6,ppm,NOAA-ESRL
1998,co2,north_america,368.9,ppm,NOAA-ESRL
1999,co2,north_america,370.1,ppm,NOAA-ESRL
2000,co2,north_america,371.8,ppm,NOAA-ESRL
2001,co2,north_america,373.4,ppm,NOAA-ESRL
2002,co2,north_america,375.7,ppm,NOAA-ESRL
2003,co2,north_america,377.6,ppm,NOAA-ESRL
2004,co2,north_america,379.8,ppm,NOAA-ESRL
2005,co2,north_america,381.9,ppm,NOAA-ESRL
2006,co2,north_america,383.8,ppm,NOAA-ESRL
2007,co2,north_america,385.6,ppm,NOAA-ESRL
2008,co2,north_america,387.5,ppm,NOAA-ESRL
2009,co2,north_america,389.0,ppm,NOAA-ESRL
2010,co2,north_america,391.1,ppm,NOAA-ESRL
2011,co2,north_america,393.0,ppm,NOAA-ESRL
2012,co2,north_america,395.4,ppm,NOAA-ESRL
2013,co2,north_america,397.2,ppm,NOAA-ESRL
2014,co2,north_america,399.0,ppm,NOAA-ESRL
2015,co2,north_america,401.3,ppm,NOAA-ESRL
2016,co2,north_america,404.2,ppm,NOAA-ESRL
2017,co2,north_america,406.5,ppm,NOAA-ESRL
2018,co2,north_america,408.7,ppm,NOAA-ESRL
2019,co2,north_america,411.4,ppm,NOAA-ESRL
2020,co2,north_america,412.5,ppm,NOAA-ESRL
1990,sea_level,north_america,-1.2,cm,GOES-Altimetry
1992,sea_level,north_america,-0.8,cm,GOES-Altimetry
1994,sea_level,north_america,-0.4,cm,GOES-Altimetry
1996,sea_level,north_america,0.1,cm,GOES-Altimetry
1998,sea_level,north_america,0.8,cm,GOES-Altimetry
2000,sea_level,north_america,1.2,cm,GOES-Altimetry
2002,sea_level,north_america,1.7,cm,GOES-Altimetry
2004,sea_level,north_america,2.1,cm,GOES-Altimetry
2006,sea_level,north_america,2.6,cm,GOES-Altimetry
2008,sea_level,north_america,3.0,cm,GOES-Altimetry
2010,sea_level,north_america,3.5,cm,GOES-Altimetry
2012,sea_level,north_america,4.1,cm,GOES-Altimetry
2014,sea_level,north_america,4.6,cm,GOES-Altimetry
2016,sea_level,north_america,5.2,cm,GOES-Altimetry
2018,sea_level,north_america,5.8,cm,GOES-Altimetry
2020,sea_level,north_america,6.3,cm,GOES-Altimetry
1990,sea_level,europe,-1.0,cm,GOES-Altimetry
1992,sea_level,europe,-0.6,cm,GOES-Altimetry
1994,sea_level,europe,-0.2,cm,GOES-Altimetry
1996,sea_level,europe,0.3,cm,GOES-Altimetry
1998,sea_level,europe,0.9,cm,GOES-Altimetry
2000,sea_level,europe,1.4,cm,GOES-Altimetry
2002,sea_level,europe,1.9,cm,GOES-Altimetry
2004,sea_level,europe,2.4,cm,GOES-Altimetry
2006,sea_level,europe,2.9,cm,GOES-Altimetry
2008,sea_level,europe,3.4,cm,GOES-Altimetry
2010,sea_level,europe,3.8,cm,GOES-Altimetry
2012,sea_level,europe,4.3,cm,GOES-Altimetry
2014,sea_level,europe,4.8,cm,GOES-Altimetry
2016,sea_level,europe,5.5,cm,GOES-Altimetry
2018,sea_level,europe,6.0,cm,GOES-Altimetry
2020,sea_level,europe,6.6,cm,GOES-Altimetry
